iter	Passed	Remaining
0	183	183789
1	188	93856
2	190	63233
3	191	47798
4	193	38564
5	195	32443
6	197	28034
7	199	24748
8	202	22281
9	204	20196
10	205	18483
11	207	17080
12	209	15932
13	211	14901
14	214	14067
15	216	13292
16	218	12608
17	219	11996
18	221	11456
19	224	10981
20	225	10534
21	228	10140
22	230	9803
23	233	9485
24	235	9171
25	237	8900
26	239	8636
27	241	8393
28	244	8173
29	246	7984
30	249	7791
31	252	7648
32	255	7490
33	259	7386
34	262	7240
35	265	7118
36	268	6975
37	270	6842
38	271	6701
39	273	6564
40	275	6435
41	276	6308
42	277	6186
43	279	6067
44	280	5953
45	281	5841
46	282	5733
47	285	5665
48	287	5570
49	288	5476
50	289	5383
51	290	5298
52	292	5221
53	293	5138
54	294	5054
55	294	4970
56	295	4890
57	296	4812
58	301	4811
59	303	4757
60	305	4702
61	306	4642
62	308	4582
63	309	4524
64	312	4493
65	316	4476
66	317	4426
67	318	4369
68	319	4313
69	320	4258
70	321	4206
71	322	4153
72	323	4102
73	323	4052
74	324	4003
75	325	3955
76	326	3909
77	326	3864
78	330	3857
79	332	3820
80	333	3785
81	334	3748
82	335	3710
83	337	3680
84	338	3645
85	339	3610
86	340	3575
87	342	3548
88	344	3528
89	345	3497
90	347	3471
91	348	3442
92	351	3431
93	352	3402
94	354	3372
95	355	3345
96	356	3315
97	357	3286
98	357	3258
99	359	3234
100	360	3207
101	362	3191
102	363	3167
103	364	3142
104	365	3117
105	366	3093
106	367	3068
107	368	3045
108	369	3020
109	370	2997
110	371	2975
111	372	2953
112	373	2932
113	374	2910
114	375	2889
115	376	2872
116	377	2851
117	379	2833
118	380	2813
119	381	2794
120	382	2775
121	382	2755
122	383	2737
123	384	2719
124	386	2702
125	387	2686
126	388	2667
127	389	2650
128	390	2635
129	391	2621
130	393	2610
131	394	2597
132	395	2581
133	397	2565
134	398	2550
135	399	2535
136	400	2521
137	401	2507
138	402	2494
139	403	2480
140	405	2471
141	406	2457
142	407	2443
143	409	2432
144	410	2421
145	411	2407
146	413	2396
147	414	2383
148	416	2376
149	417	2364
150	418	2352
151	420	2343
152	421	2333
153	422	2321
154	423	2309
155	424	2298
156	425	2285
157	426	2275
158	427	2262
159	428	2250
160	429	2237
161	431	2231
162	432	2219
163	433	2208
164	434	2197
165	435	2189
166	437	2181
167	438	2173
168	440	2164
169	441	2157
170	443	2149
171	444	2139
172	449	2148
173	451	2142
174	453	2136
175	455	2130
176	456	2122
177	457	2112
178	458	2103
179	459	2095
180	461	2088
181	475	2139
182	477	2132
183	478	2122
184	479	2113
185	480	2103
186	481	2094
187	482	2085
188	484	2078
189	485	2069
190	486	2061
191	488	2053
192	489	2047
193	491	2042
194	493	2037
195	496	2037
196	498	2031
